id,name,alias,iata,icao,callsign,country,is_active
1472,"Bering Air","","8E","BRG","BERING AIR","United States",1
1473,"Briansk State Air Enterprise","","","BRK","BRIANSK-AVIA","Russia",0
1474,"Branson Airlines","","","BRN","BRANSON","United States",0
1475,"BASE Regional Airlines","","","BRO","COASTRIDER","Netherlands",0
1476,"Brazilian Air Force","","","BRS","BRAZILIAN AIR FORCE","Brazil",1
1477,"British Regional Airlines","","","BRT","BRITISH","United Kingdom",0
1478,"Belavia Belarusian Airlines","","B2","BRU","BELARUS AVIA","Belarus",1
1479,"Bravo Air Congo","","K6","BRV","BRAVO","Democratic Republic of the Congo",0
1480,"Bright Aviation Services","","","BRW","BRIGHT SERVICES","Bulgaria",0
1481,"Braniff International Airways","","BN","BNF","Braniff","United States",0
1482,"Buffalo Express Airlines","","","BRX","BUFF EXPRESS","United States",0
1483,"Burundayavia","","","BRY","BURAIR","Kazakhstan",0
1484,"Bistair - Fez","","","BSC","BIG SHOT","Kyrgyzstan",0
1485,"Blue Star Airlines","","","BSD","AIRLINES STAR","Mexico",0
1486,"Brasair Transportes Aereos","","","BSI","BRASAIR","Brazil",0
1487,"Blue Swann Aviation","","","BSJ","BLUE SWANN","United Kingdom",0
1488,"Blue Sky Aviation","","","BSM","","Lebanon",0
1489,"Bissau Aero Transporte","","","BSS","BISSAU AIRSYSTEM","Guinea-Bissau",0
1490,"Best Air","","","BST","TUNCA","Turkey",0
1491,"Blue Sky Airways","","","BSW","SKY BLUE","Czech Republic",0
1492,"Big Sky Airlines","","GQ","BSY","BIG SKY","United States",0
1493,"BAL Bashkirian Airlines","","V9","BTC","BASHKIRIAN","Russia",0
1494,"Baltijas Helicopters","","","BTH","BALTIJAS HELICOPTERS","Latvia",0
1495,"Baltyka","","","BTK","BALTYKA","Ukraine",0
1496,"Baltia Air Lines","","","BTL","BALTIA FLIGHT","United States",0
1497,"Botir-Avia","","","BTR","BOTIR-AVIA","Kyrgyzstan",0
1498,"Business Express","","","GAA","BIZEX","United States",0
1499,"BT-Slavuta","","","BTT","BEETEE-SLAVUTA","Ukraine",0
1500,"Metro Batavia","","7P","BTV","BATAVIA","Indonesia",1
1501,"Bulgarian Air Charter","","","BUC","BULGARIAN CHARTER","Bulgaria",0
1502,"Blue Airlines","","","BUL","BLUE AIRLINES","Democratic Republic of the Congo",0
1503,"Buryat Airlines Aircompany","","","BUN","BURAL","Russia",0
1504,"Buzz Stansted","","","BUZ","BUZZ","United Kingdom",0
1505,"Buffalo Airways","","","BVA","BUFFALO AIR","United States",0
1506,"Bulgarian Aeronautical Centre","","","BVC","BULGARIAN WINGS","Bulgaria",0
1507,"Baron Aviation Services","","","BVN","SHOW-ME","United States",0
1508,"Berjaya Air","","J8","BVT","BERJAYA","Malaysia",1
1509,"Bellview Airlines","","","BVU"," Sierra Leone","",0
1510,"Blue Wings","","QW","BWG","BLUE WINGS","Germany",1
1511,"Blue Wing Airlines","","","BWI","BLUE TAIL","Suriname",0
1512,"BWA (2002) Ltd","","","BWL","BRITWORLD","United Kingdom",0
1513,"Bahrain Executive Air Services","","","BXA","BEXAIR","Bahrain",0
1514,"Bar XH Air","","","BXH","PALLISER","Canada",0
1515,"Brussels International Airlines","","","BXI","XENIA","Belgium",0
1516,"BAX Global","","8W","","","",0
1517,"Redding Aero Enterprises","","","BXR","BOXER","United States",0
1518,"Berry Aviation","","","BYA","BERRY","United States",0
1519,"Bylina Joint-Stock Company","","","BYL","BYLINA","Russia",0
1520,"Berytos Airlines","","","BYR","","Lebanon",0
1521,"Bayu Indonesia Air","","BM","BYE","BAYU","Indonesia",0
1522,"Bizair Fluggesellschaft","","","BZA","BERLIN BEAR","Germany",0
1523,"Brit Air","","DB","BZH","BRITAIR","France",1
1524,"Butane Buzzard Aviation Corporation","","","BZZ","BUZZARD","United Kingdom",0
1525,"Business Flight Salzburg","","","AUJ","AUSTROJET","Austria",0
1526,"BKS Air (Rivaflecha)","","","CKM","COSMOS","Spain",0
1527,"Bristol Flying Centre","","","CLF","CLIFTON","United Kingdom",0
1528,"Barnes Olsen Aeroleasing","","","CLN","SEELINE","United Kingdom",0
1529,"Baltimore Air Transport","","","CPJ","CORPJET","United States",0
1530,"Boston-Maine Airways","","E9","CXS","CLIPPER CONNECTION","United States",0
1531,"Brussels Airlines","SN Brussels Airlines","SN","DAT","BEE-LINE","Belgium",1
1532,"Baltimore Airways","","","EAH","EASTERN","United States",0
1533,"Bond Aviation","","","EBA","BOND AVIATION","Italy",0
1534,"Brazilian Army Aviation","","","EXB","BRAZILIAN ARMY","Brazil",0
1535,"Business Express Delivery","","","EXP","EXPRESS AIR","Canada",0
1536,"Bel Limited","","","FOS","","Russia",0
1537,"Bangkok Aviation Center","","","HAW","THAI HAWK","Thailand",0
1538,"Benair","","","HAX","SCOOP","Norway",0
1539,"Binter Canarias","","NT","IBB","","Spain",1
1540,"Bonyad Airlines","","","IRJ","BONYAD AIR","Iran",0
1541,"Burundaiavia","","","IVR","RERUN","Kazakhstan",0
1542,"Blue Air","","0B","JOR","BLUE TRANSPORT","Romania",1
1543,"British Mediterranean Airways","","KJ","LAJ","BEE MED","United Kingdom",1
1544,"Belle Air","","","LBY","ALBAN-BELLE","Albania",0
1545,"Blom Geomatics","","","LED","SWEEPER","Norway",0
1546,"Benin Littoral Airways","","","LTL","LITTORAL","Benin",0
1547,"Bombardier Business Jet Solutions","","","LXJ","FLEXJET","United States",0
1548,"Bulgaria Air","","FB","LZB","FLYING BULGARIA","Bulgaria",1
1549,"Brazilian Navy Aviation","","","MBR","BRAZILIAN NAVY","Brazil",0
1550,"Barents AirLink","","8N","NKF","NORDFLIGHT","Sweden",1
1551,"Belgian Navy","","","NYB","BELGIAN NAVY","Belgium",0
1552,"Bakoji Airlines Services","","","OGJ","BAKO AIR","Nigeria",0
1553,"Benders Air","","","PEB","PALEMA","Sweden",0
1554,"Balmoral Central Contracts","","","PNT","PORTNET","South Africa",0
1555,"BGB Air","","","POI","BOJBAN","Kazakhstan",0
1556,"Butte Aviation","","","PPS","PIPESTONE","United States",0
1557,"Bond Air Services","","","RHD","RED HEAD","United Kingdom",0
1558,"Business Airfreight","","","RLR","RATTLER","United States",0
1559,"BAC Express Airlines","","","RPX","RAPEX","United Kingdom",0
1560,"Boscombe Down DERA (Formation)","","","RRS","BLACKBOX","United Kingdom",0
1561,"Business Jet Sweden","","","SCJ","SCANJET","Sweden",0
1562,"British Airways Shuttle","","","SHT","SHUTTLE","United Kingdom",0
1563,"British Sky Broadcasting","","","SKH","SKYNEWS","United Kingdom",0
