id,name,alias,iata,icao,callsign,country,is_active
1,"Private flight","","-","N/A","","",1
2,"135 Airways","","","GNL","GENERAL","United States",0
3,"1Time Airline","","1T","RNX","NEXTIME","South Africa",1
4,"2 Sqn No 1 Elementary Flying Training School","","","WYT","","United Kingdom",0
5,"213 Flight Unit","","","TFU","","Russia",0
6,"223 Flight Unit State Airline","","","CHD","CHKALOVSK-AVIA","Russia",0
7,"224th Flight Unit","","","TTF","CARGO UNIT","Russia",0
8,"247 Jet Ltd","","","TWF","CLOUD RUNNER","United Kingdom",0
9,"3D Aviation","","","SEC","SECUREX","United States",0
10,"40-Mile Air","","Q5","MLA","MILE-AIR","United States",1
11,"4D Air","","","QRT","QUARTET","Thailand",0
12,"611897 Alberta Limited","","","THD","DONUT","Canada",0
13,"Ansett Australia","","AN","AAA","ANSETT","Australia",1
14,"Abacus International","","1B","","","Singapore",1
15,"Abelag Aviation","","W9","AAB","ABG","Belgium",0
16,"Army Air Corps","","","AAC","ARMYAIR","United Kingdom",0
17,"Aero Aviation Centre Ltd.","","","AAD","SUNRISE","Canada",0
18,"Aero Servicios Ejecutivos Internacionales","","","SII","ASEISA","Mexico",0
19,"Aero Biniza","","","BZS","BINIZA","Mexico",0
20,"Aero Albatros","","","ABM","ALBATROS ESPANA","Spain",0
21,"Aigle Azur","","ZI","AAF","AIGLE AZUR","France",1
22,"Aloha Airlines","","AQ","AAH","ALOHA","United States",1
23,"Alaska Island Air","","","AAK","ALASKA ISLAND","United States",0
24,"American Airlines","","AA","AAL","AMERICAN","United States",1
25,"Aviation Management Corporation","","","AAM","AM CORP","United States",0
26,"Atlantis Airlines (USA)","","","AAO","ATLANTIS AIR","United States",0
27,"Aerovista Airlines","","","AAP","AEROVISTA GROUP","United Arab Emirates",0
28,"Asiana Airlines","","OZ","AAR","ASIANA","Republic of Korea",1
29,"Askari Aviation","","4K","AAS","AL-AAS","Pakistan",1
30,"Australia Asia Airlines","","","AAU","AUSTASIA","Australia",0
31,"Astro Air International","","","AAV","ASTRO-PHIL","United States",0
32,"Afriqiyah Airways","","8U","AAW","AFRIQIYAH","Libya",1
33,"Afrinat International Airlines","","Q9","AFU","","Gambia",0
34,"Afric'air Express","","","AAX","AFREX","Ivory Coast",0
35,"Allegiant Air","","G4","AAY","ALLEGIANT","United States",1
36,"Angus Aviation","","","AAZ","ANGUS","Canada",0
37,"Artem-Avia","","","ABA","ARTEM-AVIA","Ukraine",0
38,"African Business and Transportations","","","ABB","AFRICAN BUSINESS-","Democratic Republic of the Congo",0
39,"Aban Air","","K5","ABE","ABAN","Iran",0
40,"Aerial Oy","","","ABF","SKYWINGS","Finland",0
41,"Abakan-Avia","","","ABG","ABAKAN-AVIA","Russia",0
42,"ABSA - Aerolinhas Brasileiras","","M3","TUS","ABSA Cargo","Brazil",1
43,"Abaet","","","ABJ","Abaet","Brazil",0
44,"Alberta Citylink","","","ABK","ALBERTA CITYLINK","Canada",0
45,"APSA Colombia","","","ABO","AEROEXPRESO","Colombia",0
46,"Aerovias Bueno","","","ABU","AEROBUENO","Colombia",0
47,"Aerocenter","","","ACR"," Escuela de Formacion de Pioltos Privados de Avion","AEROCENTER",0
48,"Antrak Air","","04","ABV","ANTRAK","Ghana",0
49,"Airborne Express","","GB","ABX","ABEX","United States",0
50,"ABX Air","","GB","ABX","ABEX","United States",0
51,"ATA Brasil","","","ABZ","ATA-BRAZIL","Brazil",0
52,"Avcard Services","","","ACC","","United Kingdom",0
53,"Academy Airlines","","","ACD","ACADEMY","United States",0
54,"Aero Comondu","","","ACO","AERO COMONDU","Mexico",0
55,"Astral Aviation","","8V","ACP","ASTRAL CARGO","Kenya",1
56,"Air Cess","","","ACS","","Liberia",0
57,"Air Aurora","","","AAI","BOREALIS","United States",0
58,"Air Cargo Transportation System","","","ACU","AFRISPIRIT","Kenya",0
59,"Air Charter Service","","","ACV","","United Kingdom",0
60,"Aero Asia International","","E4","RSO","AERO ASIA","Pakistan",0
61,"Air Charters","","","ACX","PARAIR","Canada",0
62,"Air Togo","","YT","TGA","AIR TOGO","Togo",0
63,"Air Somalia","","","RSM","AIR SOMALIA","Somali Republic",0
64,"Atlas Cargo Lines","","","ACY","ATLAS CARGOLINES","Morocco",0
65,"Airservices Australia","","","ADA","AUSCAL","Australia",0
66,"Advance Leasing Company","","4G","","","United States",0
67,"Aztec Worldwide Airlines","","7A","","","United States",0
68,"Air Tindi","","8T","","","Canadian Territories",1
69,"Antonov Airlines","","","ADB","ANTONOV BUREAU","Ukraine",0
70,"Air Atlantic Dominicana","","","ADC","ATLAN-DOMINICAN","Dominican Republic",0
71,"Advanced Air Co.","","","ADD","","Japan",0
72,"Ada Air","","ZY","ADE","ADA AIR","Albania",1
73,"Aerea Flying Training Organization","","","ADG","AEREA TRAINING","Spain",0
74,"Audeli Air","","","ADI","AUDELI","Spain",0
75,"Abicar","","","ADJ","ABICAR","Ivory Coast",0
76,"ADC Airlines","","Z7","ADK","ADCO","Nigeria",0
77,"Aero Dynamics","","","ADL","COTSWOLD","United Kingdom",0
78,"Aerolineas Dominicanas","","","ADM","DOMINAIR","Dominican Republic",0
79,"Aerodienst GmbH","","","ADN","AERODIENST","Germany",0
80,"Aerodiplomatic","","","ADP","AERODIPLOMATIC","Mexico",0
81,"Aerodyne","","","ADY","AERODYNE","United States",0
82,"Avion Taxi","","","ADQ","AIR DATA","Canada",0
83,"Adria Airways","","JP","ADR","ADRIA","Slovenia",1
84,"Aviones de Sonora","","","ADS","SONORAV","Mexico",0
85,"Air Dorval","","","ADT","AIR DORVAL","Canada",0
86,"Airdeal Oy","","","ADU","AIRDEAL","Finland",0
87,"Advance Air Charters","","","ADV","ADVANCE","Canada",0
88,"Air Andaman","","","ADW","AIR ANDAMAN","Thailand",0
89,"Anderson Aviation","","","ADX","ANDAX","United States",0
90,"Air Europa","","UX","AEA","EUROPA","Spain",1
91,"Air Southwest Ltd.","","","ASW","AIRSOUTHWEST","Canada",0
92,"Air Special","","","ASX","AIRSPEC","Czech Republic",0
93,"Aero Benin","","EM","AEB","AEROBEN","Benin",1
94,"Aerocesar","","","AEC"," Aerovias Del Cesar","AEROCESAR",0
95,"Aerotrans Airlines","","","AED","","Russia",0
96,"Aegean Airlines","","A3","AEE","AEGEAN","Greece",1
97,"Aerofumigaciones Sam","","","AEG","FUMIGACIONES SAM","Chile",0
98,"Aeroexpreso Interamericano","","","AEI","INTERAM","Colombia",0
99,"Air Express","","","AEJ","KHAKI EXPRESS","Tanzania",0
100,"Aerocon","","","AEK","AEROCON","Bolivia",0
101,"Aero Madrid","","","AEM","AEROMADRID","Spain",0
102,"Aeroenlaces Nacionales","","","AEN","","Mexico",0
103,"Aeroservicios Ejecutivos Del Occidente","","","AEO","AERO OCCIDENTE","Mexico",0
104,"Aerotec","","","AEP","AEROTEC","Spain",0
105,"Air Atlantique","","KI","AAG","ATLANTIC","United Kingdom",0
106,"Air Europe","","PE","AEL","AIR EUROPE","Italy",1
107,"Air Alma","","","AAJ","AIR ALMA","Canada",0
108,"Air Express","","","AEQ","LUNA","Sweden",0
109,"Alaska Central Express","","KO","AER","ACE AIR","United States",1
110,"ACES Colombia","","","AES","ACES","Colombia",1
111,"Aeronautical Radio of Thailand","","","AET","AEROTHAI","Thailand",0
112,"Astraeus","","5W","AEU","FLYSTAR","United Kingdom",1
113,"Aeroventas","","","AEV","AEROVENTAS","Mexico",0
114,"Aerosvit Airlines","","VV","AEW","AEROSVIT","Ukraine",1
115,"Airway Express","","","AEX","AVCO","United States",0
116,"Air Italy","","I9","AEY","AIR ITALY","Italy",1
117,"Aerial Transit Company","","","AEZ","AERIAL TRANZ","United States",0
118,"Alfa Air","","","AFA","BLUE ALFA","Czech Republic",0
119,"American Falcon","","WK","AFB","AMERICAN FALCON","Argentina",0
120,"Alliance Airlines","","QQ","UTY","UNITY","Australia",1
121,"Air Universal","","","UVS","UNI-LEONE","Sierra Leone",0
122,"Auvia Air","","","UVT","AUVIA","Indonesia",0
123,"African West Air","","","AFC","AFRICAN WEST","Senegal",0
124,"Airfast Indonesia","","","AFE","AIRFAST","Indonesia",0
125,"Ariana Afghan Airlines","","FG","AFG","ARIANA","Afghanistan",1
126,"Air Fecteau","","","AFH","FECTO","Canada",0
127,"Africaone","","","AFI","AFRICAWORLD","Uganda",0
128,"Alliance","","","AFJ","JAMBO","Uganda",0
129,"Africa Air Links","","","AFK","AFRICA LINKS","Sierra Leone",0
130,"Aeroflot Russian Airlines","","SU","AFL","AEROFLOT","Russia",1
131,"Aero Empresa Mexicana","","","AFO","AERO EMPRESA","Mexico",0
132,"Air Bosna","","JA","BON","AIR BOSNA","Bosnia and Herzegovina",1
133,"Air Bravo","","","BRF","AIR BRAVO","Uganda",0
134,"Air Brasd'or","","","BRL","BRASD'OR","Canada",0
135,"Air 500","","","BRM","BOOMERANG","Canada",0
136,"Alba Servizi Aerotrasporti","","","AFQ","ALBA","Italy",0
137,"Air France","","AF","AFR","AIRFRANS","France",1
138,"Air Partner","","","ACG","AIR PARTNER","United Kingdom",0
139,"Air Caledonie International","","SB","ACI","AIRCALIN","France",1
140,"Air Caledonia","","","ACM","WEST CAL","Canada",0
141,"Air Guam","","","AGM","AIR GUAM","United States",0
142,"Air Gabon","","GN","AGN","GOLF NOVEMBER","Gabon",0
143,"Air Data","","","AFS","","United Kingdom",0
144,"Air Afrique Vacancies","","","AFV","AFRIQUE VACANCE","Ivory Coast",0
145,"Air Cargo America","","","MVM","PEGASUS","United States",0
146,"Air Salone","","2O","","","Sierra Leone",1
147,"Air-Angol","","","NGO","AIR ANGOL","Angola",0
148,"Air Nigeria","","","NGP","REGAL EAGLE","Nigeria",0
149,"Air Cargo Carriers","","2Q","SNC","NIGHT CARGO","United States",1
150,"Air Samarkand","","","SND","ARSAM","Uzbekistan",0
151,"Air Senegal International","","V7","SNG","AIR SENEGAL","Senegal",0
152,"Air Sandy","","","SNY","AIR SANDY","Canada",0
153,"Air Namibia","","SW","NMB","NAMIBIA","Namibia",1
154,"Air Intersalonika","","","NSK","INTERSALONIKA","Greece",0
155,"Air Anatolia","","","NTL","AIR ANATOLIA","Turkey",0
156,"Air Saigon","","","SGA","AIR SAIGON","Vietnam",0
157,"Afrique Regional Airways","","","AFW","AFRAIR","Ivory Coast",0
158,"Airfreight Express","","","AFX"," ","United Kingdom",0
159,"Africa Chartered Services","","","AFY","AFRICA CHARTERED","Nigeria",0
160,"Africa Freight Services","","","AFZ","AFREIGHT","Zambia",0
161,"Aeronaves Del Centro","","","AGA","","Venezuela",0
162,"Air Service Gabon","","G8","AGB","","Gabon",0
163,"Arab Agricultural Aviation Company","","","AGC","AGRICO","Egypt",0
164,"Atlantic Gulf Airlines","","","AGF","ATLANTIC GULF","United States",0
165,"Aerolitoral","","5D","SLI","COSTERA","Mexico",1
166,"Algoma Airways","","","AGG","ALGOMA","Canada",0
167,"Altagna","","","AGH","ALTAGNA","France",0
168,"Angola Air Charter","","","AGO","ANGOLA CHARTER","Angola",0
169,"Angola Air Charter","","","AGO","ANGOLA CHARTER","Angola",0
170,"AERFI Group","","","AGP","AIR TARA","Ireland",0
171,"Aerogala","","","AGQ","GALASERVICE","Chile",0
172,"Amadeus Global Travel Distribution","","1A","AGT","AMADEUS","Spain",0
173,"Angara Airlines","","","AGU","SARMA","Russia",0
174,"Air Glaciers","","7T","AGV","AIR GLACIERS","Switzerland",1
175,"Aero Gambia","","","AGW","AERO GAMBIA","Gambia",0
176,"Aviogenex","","","AGX","GENEX","Serbia",1
177,"Atlantic Coast Airlines","","","BLR","BLUE RIDGE","United States",0
178,"Aero Barloz","","","BLZ","AEROLOZ","Mexico",0
179,"Aeroper","","PL","PLI","Aeroperu","Peru",1
180,"Atlas Blue","","8A","BMM","ATLAS BLUE","Morocco",1
181,"Aero Banobras","","","BNB","AEROBANOBRAS","Mexico",0
182,"Aero Flight Service","","","AGY","FLIGHT GROUP","United States",0
183,"Agrolet-Mci","","","AGZ","AGROLET","Slovakia",0
184,"Air Alpha Greenland","","GD","AHA","AIR ALPHA","Denmark",0
185,"Azal Avia Cargo","","","AHC","AZALAVIACARGO","Azerbaijan",0
186,"Airport Helicopter Basel","","","AHE"," Muller & Co.","AIRPORT HELICOPTER",0
187,"Aeroservices Corporate","","","CJE","BIRD JET","France",0
188,"Aspen Helicopters","","","AHF","ASPEN","United States",0
189,"Aerochago Airlines","","","AHG","AEROCHAGO","Dominican Republic",0
190,"Airplanes Holdings","","","AHH","AIRHOLD","Ireland",0
191,"Air Hong Kong","","LD","AHK","AIR HONG KONG","Hong Kong",0
192,"Aerochiapas","","","AHP","AEROCHIAPAS","Mexico",0
193,"Air Adriatic","","","AHR","ADRIATIC","Croatia",0
194,"Air Viggi San Raffaele","","","AHS","AIRSAR","Italy",0
195,"ABC Air Hungary","","","AHU","ABC HUNGARY","Hungary",0
196,"Aeromist-Kharkiv","","HT","AHW","AEROMIST","Ukraine",0
197,"Azerbaijan Airlines","","J2","AHY","AZAL","Azerbaijan",1
198,"Avies","","U3","AIA","AVIES","Estonia",1
199,"Airbus Industrie","","AP","AIB","AIRBUS INDUSTRIE","France",0
200,"Alpine Air Chile","","","AIH","ALPINE CHILE","Chile",0
201,"Air Integra","","","AII","INTEGRA","Canada",0
202,"ABC Aerolineas","","","AIJ","ABC AEROLINEAS","Mexico",0
203,"African Airlines International Limited","","","AIK","AFRICAN AIRLINES","Kenya",0
204,"African International Airways","","","AIN","FLY CARGO","Swaziland",0
205,"Alpine Air Express","","5A","AIP","ALPINE AIR","United States",0
206,"Alicante Internacional Airlines","","","AIU","ALIA","Spain",0
207,"Aba Air","","","ABP","BAIR","Czech Republic",0
208,"Airblue","","ED","ABQ","PAKBLUE","Pakistan",1
209,"Airmark Aviation","","","THM","THAI AIRMARK","Thailand",0
210,"Airlift International","","","AIR","AIRLIFT","United States",1
211,"Airest","","","AIT"," ","Estonia",0
212,"Air Baffin","","","BFF","AIR BAFFIN","Canada",0
213,"Air Bandama","","","BDM","BANDAMA","Ivory Coast",0
214,"Air Berlin","","AB","BER","AIR BERLIN","Germany",1
215,"Air Brousse","","","ABT","AIR BROUSSE","Canada",0
216,"Air Contractors","","AG","ABR","CONTRACT","Ireland",0
217,"Air Illinois","","","AIL","AIR ILLINOIS","United States",0
218,"Air India Limited","","AI","AIC","AIRINDIA","India",1
219,"Air Inter Gabon","","","AIG"," ","Gabon",0
220,"Air Bourbon","","ZB","BUB","BOURBON","Reunion",1
221,"Air Atlanta Icelandic","","CC","ABD","ATLANTA","Iceland",1
222,"Air Inuit","","","AIE","AIR INUIT","Canada",0
223,"Air Sureste","","","AIS","SURESTE","Spain",0
224,"Air Srpska","","RB","SBK","Air Srpska","Bosnia and Herzegovina",0
225,"Air Tahiti Nui","","TN","THT","TAHITI AIRLINES","France",1
226,"Airvias S/A Linhas Aereas","","","AIV","AIRVIAS","Brazil",0
227,"Aero Services Executive","","W4","BES","BIRD EXPRESS","France",0
228,"Atlantic Island Airways","","","AIW","TARTAN","Canada",0
229,"Aircruising Australia","","","AIX","CRUISER","Australia",0
230,"Aircrew Check and Training Australia","","","AIY","AIRCREW","Australia",0
231,"Arkia Israel Airlines","","IZ","AIZ","ARKIA","Israel",1
232,"A J Services","","","AJA","AYJAY SERVICES","United Kingdom",0
233,"Aero JBR","","","AJB","AERO JBR","Mexico",0
234,"Aero Jet Express","","","AJE","JET EXPRESS","Mexico",0
235,"Avia Consult Flugbetriebs","","","AJF","AVIACONSULT","Austria",0
236,"Ameristar Jet Charter","","","AJI","AMERISTAR","United States",0
237,"A2 Jet Leasing","","","AJJ","ATLANTIC JET","United States",0
238,"Allied Air","","","AJK","BAMBI","Nigeria",0
239,"Air Jamaica","","JM","AJM","JAMAICA","Jamaica",1
240,"Air One","","AP","ADH","HERON","Italy",1
241,"Air Sahara","","S2","RSH","SAHARA","India",1
242,"Air Malta","","KM","AMC","AIR MALTA","Malta",1
243,"Aeroejecutivo","","","AJO","AEROEXO","Mexico",0
244,"Aero Jets Corporativos","","","AJP","AEROJETS","Mexico",0
245,"Aeroejecutivos Colombia","","","AJS","AEROEJECUTIVOS","Colombia",0
246,"Amerijet International","","M6","AJT","AMERIJET","United States",0
247,"Air Jetsul","","","AJU","AIRJETSUL","Portugal",0
248,"ANA & JP Express","","","AJV","AYJAY CARGO","Japan",0
249,"Alpha Jet International","","","AJW","ALPHAJET","United States",0
250,"Air Japan","","NQ","AJX","AIR JAPAN","Japan",1
251,"Ajet","","","AJY","AYJET","Cyprus",0
252,"Air Korea Co. Ltd.","","","AKA","","Republic of Korea",1
253,"Air Livonia","","","LIV","LIVONIA","Estonia",0
254,"Air BC","","","ABL","AIRCOACH","Canada",0
255,"Air Fret Senegal","","","ABN"," ","Senegal",0
256,"Air Jamahiriya Company","","","LJA","AIR JAMAHIRIYA","Libya",0
257,"Aktjubavia","","","AKB","KARAB","Kazakhstan",0
258,"Arca Aerovias Colombianas Ltda.","","","AKC","ARCA","Colombia",0
259,"Anikay Air Company","","","AKF","ANIKAY","Kyrgyzstan",0
260,"Akhal","","","AKH","AKHAL","Turkmenistan",0
261,"Aeromilenio","","","MNI","AEROMIL","Mexico",0
262,"Aklak Air","","","AKK","AKLAK","Canada",0
263,"Air Kiribati","","4A","AKL","","Kiribati",1
264,"Alkan Air","","","AKN","ALKAN AIR","Canada",0
265,"Angkor Airways","","","AKW","ANGKORWAYS","Cambodia",0
266,"Air Nippon Network Co. Ltd.","","EH","AKX","ALFA WING","Japan",0
267,"AK Navigator LLC","","","AKZ","ABSOLUTE","Kazakhstan",0
268,"Aero Albatros","","","ALB","ALBATROS","Mexico",0
269,"Albion Aviation","","","ALD","ALBION","United Kingdom",0
270,"Aeroalas Colombia","","","ALE","AEROALAS","Colombia",0
271,"Allied Command Europe (Mobile Force)","","","ALF","ACEFORCE","Belgium",0
272,"Aerotaxis Albatros","","","BTS","AEROLINEAS ALBATROS","Mexico",0
273,"American Flyers","","","FYS","AMERICAN FLYERS","United States",0
274,"Aero Coach Aviation","","","DFA","AERO COACH","United States",0
275,"Atlantic Southeast Airlines","","","CAA","Chandler","United States",0
276,"ACM Air Charter","","","BVR","BAVARIAN","Germany",0
277,"Air Logistics","","","ALG","AIRLOG","United States",0
278,"Aerovallarta","","","ALL","VALLARTA","Mexico",0
279,"Air ALM","","","ALM","ANTILLEAN","Netherlands Antilles",0
280,"Air Lincoln","","","ALN","CHICAGO LINCOLN","United States",0
281,"America West Airlines","","HP","AWE","CACTUS","United States",1
282,"Air Wisconsin","","ZW","AWI","AIR WISCONSIN","United States",1
283,"Aerotransporte de Carga Union","","","TNO","AEROUNION","Mexico",0
284,"Aero Taxis Cessna","","","TND","TAXIS CESSNA","Mexico",0
285,"Arizona Express Airlines","","","TMP","TEMPE","United States",0
286,"Tatarstan Airlines","","U9","TAK","TATARSTAN","Russia",1
287,"Allegheny Commuter Airlines","","","ALO","ALLEGHENY","United States",1
288,"Alpliner AG","","","ALP","ALPINER","Switzerland",0
289,"Altair Aviation (1986)","","","ALQ","ALTAIR","Canada",0
290,"Air Luxor STP","","","ALU","LUXORJET","Sao Tome and Principe",0
291,"Alas de Venezuela","","","ALV","ALVEN","Venezuela",0
292,"Alas Nacionales","","","ALW"," S.A.","ALNACIONAL",0
293,"Alyeska Air Service","","","ALY","ALYESKA","United States",0
294,"Alta Flights (Charters) Ltd.","","","ALZ"," ","Canada",0
295,"Air Sunshine","","","RSI","AIR SUNSHINE","United States",1
296,"ATMA","","","AMA","ADIK","Kazakhstan",0
297,"Aerolineas Medellin","","","AMD","AEROLINEAS MEDELLIN","Colombia",0
298,"Ameriflight","","","AMF","AMFLIGHT","United States",0
299,"Air Libert","","VD","","","France",1
300,"Air Lithuania","","TT","KLA","KAUNAS","Lithuania",0
301,"Air Minas Linhas A","","","AMG","AIR MINAS","Brazil",0
302,"Alan Mann Helicopters Ltd.","","","AMH","MANN","United Kingdom",0
303,"Air Maldives","","","AMI","AIR MALDIVES","Maldives",0
304,"Aviation Amos","","","AMJ","AVIATION AMOS","Canada",0
305,"Amerer Air","","","AMK","AMER AIR","Austria",0
306,"Air Malawi","","QM","AML","MALAWI","Malawi",1
307,"Aeroputul International Marculesti","","","AMM","AEROM","Moldova",0
308,"Air Montenegro","","","AMN","MONTENEGRO","Montenegro",0
309,"Air Montreal (Air Holdings Inc.)","","","AMO","AIR MONTREAL","Canada",0
310,"Aero Transporte S.A. (ATSA)","","","AMP","ATSA","Peru",0
311,"Aeromedicare Ltd.","","","AMQ","LIFELINE","United Kingdom",0
312,"Air Sicilia","","BM","","","Italy",1
313,"Air Specialties Corporation","","","AMR","AIR AM","United States",0
314,"Air Muskoka","","","AMS","AIR MUSKOKA","Canada",0
315,"ATA Airlines","","","AMT","AMTRAN","United States",1
316,"Air Macau","","NX","AMU","AIR MACAO","Macao",1
317,"AMC Airlines","","","AMV","","Egypt",1
318,"Air Midwest","","ZV","AMW","AIR MIDWEST","United States",0
319,"Air Seychelles","","HM","SEY","SEYCHELLES","Seychelles",1
320,"Air Sofia","","","SFB","AIR SOFIA","Bulgaria",0
321,"AeroMéxico","","AM","AMX","AEROMEXICO","Mexico",1
322,"Air Ambar","","","AMY","AIR AMBAR","Dominican Republic",0
323,"Amiya Airline","","","AMZ","AMIYA AIR","Nigeria",0
324,"All Nippon Airways","ANA All Nippon Airways","NH","ANA","ALL NIPPON","Japan",1
325,"Air Navigation And Trading Co. Ltd.","","","ANB","AIR NAV","United Kingdom",0
326,"Anglo Cargo","","","ANC","ANGLO","United Kingdom",0
327,"Air Nostrum","","YW","ANE","AIR NOSTRUM","Spain",1
328,"Air Niugini","","PX","ANG","NUIGINI","Papua New Guinea",1
329,"Air Arabia","","G9","ABY","ARABIA","United Arab Emirates",1
330,"Air Canada","","AC","ACA","AIR CANADA","Canada",1
331,"Airport Bratsk","","","BRP","AEROBRA","Russia",0
332,"Air Wings","","","BSB","ARBAS","Moldova",0
333,"Air Baltic","","BT","BTI","AIRBALTIC","Latvia",1
334,"Alajnihah for Air Transport","","","ANH","ALAJNIHAH","Libya",0
335,"Air Atlantic (Nig) Limited","","","ANI","NIGALANTIC","Nigeria",0
336,"Air Nippon","","EL","ANK","ANK AIR","Japan",1
337,"Antares Airtransport","","","ANM"," Maintenance & Service GmbH","ANTARES",0
338,"Airnorth","","TL","ANO","TOPEND","Australia",1
339,"Aerol","","","ANQ","ANTIOQUIA","Colombia",0
340,"Andes Lineas Aereas","","","ANS","AEROANDES","Argentina",0
341,"Air North Charter - Canada","","4N","ANT","AIR NORTH","Canada",1
342,"Air Nevada","","","ANV","AIR NEVADA","United States",0
343,"AOM French Airlines","","IW","AOM","French Lines","France",0
344,"Aviacion Del Noroeste","","","ANW"," S.A. de C.V.","AVINOR",0
345,"Air New Zealand","","NZ","ANZ","NEW ZEALAND","New Zealand",1
346,"Avia Jaynar","","","SAP","TOBOL","Kazakhstan",0
347,"Aero Servicios Empresariales","","","EMS","SERVIEMPRESARIAL","Mexico",0
348,"Alcon Servicios Aereos","","","AOA"," S.A. de C.V.","ALCON",0
349,"AVCOM","","J6","AOC","AERO AVCOM","Russia",0
350,"Aero Vodochody","","","AOD","AERO CZECH","Czech Republic",0
351,"Air One Executive","","","AOE"," ","Italy",0
352,"Atair Pty Ltd.","","","AOF","ATAIR","South Africa",0
353,"Aero VIP","","2D","AOG","AVIP","Argentina",0
354,"Aeromundo Ejecutivo","","","MUN","AEROMUNDO","Mexico",0
355,"Aerolinea Muri","","","MUR","MURI","Mexico",0
356,"Astoria","","","AOI"," Inc.","ASTORIA",0
357,"Aero Rent JSC","","","NRO","AEROMASTER","Russia",0
358,"Aeronord-Grup","","","NRP","AERONORD","Moldova",0
359,"Aeroatlantico Colombia","","","AOK","","Colombia",0
360,"Angkor Airlines","","","AOL","ANGKOR AIR","Cambodia",0
361,"Aero Entreprise","","","AON","AERO ENTERPRISE","France",0
362,"As","","","AOO"," Opened Joint Stock Company","COMPANY AS",0
363,"Aeropiloto","","","AOP","AEROPILOTO","Portugal",0
364,"Aeroenlaces Nacionales","","","VIV","AEROENLACES","Mexico",0
365,"Aerovis Airlines","","","VIZ","AEROVIZ","Ukraine",0
366,"Avjet International (FZE)","","","VJE","","United Arab Emirates",0
367,"Aerovista Gulf Express","","","VGF","VISTA GULF","United Arab Emirates",0
368,"Air Vegas","","6V","VGA","AIR VEGAS","United States",0
369,"Almaver","","","VER","ALMAVER","Mexico",0
370,"Afro International Ent. Limited","","","AOR","INTER-AFRO","Nigeria",0
371,"Alitalia Express","","XM","SMX","ALIEXPRESS","Italy",1
372,"Asia Overnight Express","","OE","AOT","ASIA OVERNIGHT","Philippines",0
373,"Air Tractor","","","AOU","AIR TRACTOR","Croatia",0
374,"Aero Vision","","","AOV","AEROVISION","France",0
375,"Aerotaxi Del Valle","","","AOX","AEROVALLE","Colombia",0
376,"Air Park Aviation Ltd.","","","APA","CAN-AM","Canada",0
377,"Airpac Airlines","","","APC"," Inc.","AIRPAC",0
378,"Aeroservicios Monterrey","","","SVM","SERVIMONTE","Mexico",0
379,"Amapola Flyg AB","","","APF","AMAPOLA","Sweden",0
380,"Air People International","","","APG","AIR PEOPLE","Thailand",0
381,"Alpha Aviation","","","APH"," Inc.","AIRFLIGHT",0
382,"ASA Pesada","","","API"," Lda.","ASA PESADA",0
383,"Air Print","","","APJ"," S.A.","AIR PRINT",0
384,"Atlantic Airlines","","","BJK","BLACKJACK","United States",0
385,"Aerotransporte Petrolero","","","PET","AEROPETRO","Colombia",0
386,"Aero Flight","","GV","ARF","Aero Fox","Germany",1
387,"ACM Aviation","","","BJT","BAY JET","United States",0
388,"Aircompany Barcol","","","BKL","BARCOL","Russia",0
389,"All Charter Limited","","","BLA","ALL CHARTER","United Kingdom",0
390,"Appalachian Flying Service","","","APL"," Inc.","APPALACHIAN",0
391,"Airpac","","","APM"," Inc.","ALASKA PACIFIC",0
392,"Aeropro","","","APO","AEROPRO","Canada",0
393,"Aerolineas Pacifico Atlantico","","","APP"," S.A. (Apair)","AEROPERLAS",0
394,"Aspen Aviation","","","APQ","ASPEN BASE","United States",0
395,"Aeropuma","","","APU"," S.A.","AEROPUMA",0
396,"Air Plan International","","","APV","AIR PLAN","Democratic Republic of the Congo",0
397,"Arrow Air","","JW","APW","BIG A","United States",1
398,"Apex Air Cargo","","","APX","PARCEL EXPRESS","United States",0
399,"APA Internacional","","","APY","APA INTERNACIONAL","Dominican Republic",0
400,"Aeroatlas","","","AQA"," S.A.","ATCO",0
401,"Aquila Air Ltd.","","","AQL","AQUILA","Canada",0
402,"Air Queensland","","","AQN","BUSHAIR","Australia",0
403,"Aluminum Company Of America","","","AQO","ALCOA SHUTTLE","United States",0
404,"Aviones de Renta de Quintana Roo","","","AQT"," S.A. de C.V.","AVIOQUINTANA",0
405,"AirQuarius Aviation","","","AQU","QUARIUS","South Africa",0
406,"Aerodyne Charter Company","","","AQZ","QUANZA","United States",0
407,"Arik Air","","W3","ARA","ARIK AIR","Nigeria",0
408,"Avia Air N.V.","","","ARB","AVIAIR","Aruba",0
409,"Air Routing International Corp.","","","ARC"," ","United States",0
410,"Aerocondor","","2B","ARD","AEROCONDOR","Portugal",1
411,"Aires","","4C","ARE"," Aerovias de Integracion Regional"," S.A.",1
412,"Aerolineas Argentinas","","AR","ARG","ARGENTINA","Argentina",1
413,"Arrowhead Airways","","","ARH","ARROWHEAD","United States",0
414,"Aero Vics","","","ARI","AEROVICS","Mexico",0
415,"Aerojet de Costa Rica","","","ARJ"," S.A.","",0
416,"Antillana De Navegacion Aerea","","","SUN","","Dominican Republic",0
417,"Aeroservicios De San Luis","","","SUO","SERVICIO SANLUIS","Mexico",0
